news_headline,news_article,news_category
"Didn’t ask for paternity leave, my wife backed me: Sunil Gavaskar","Ex-India captain Sunil Gavaskar said he hadn't asked BCCI for permission to return to India from New Zealand in 1975-76 to be with his wife for the birth of their son. ""I was aware that the baby would come while I was away. I was committed to playing for India and my wife backed me to the hilt,"" Gavaskar said.",sports
It annoys the hell out of me: Ian Chappell urges ICC to ban 'switch hit',"Ex-Australia captain Ian Chappell has urged ICC to ban 'switch hit' shot which Glenn Maxwell and David Warner recently played against India, saying, ""It annoys the hell out of me."" ""I'd prefer to see a contest rather than batting exhibitions,"" Chappell said. ""When...a batsman...completely become the opposite-handed batsman...[after the bowler has delivered]...then it's not fair,"" he added.",sports
F1 driver survives huge crash after car splits into two and bursts into flames,"Formula One driver Romain Grosjean was involved in a huge crash at the Bahrain Grand Prix on Sunday. Grosjean veered off the track following some contact with Daniil Kvyat and his car ploughed into the barriers, exploding on impact and breaking in half. The French driver emerged from the flames after several seconds and was immediately attended by emergency services.
",sports
Maradona’s doctor probed over involuntary manslaughter; house & clinic raided,"Diego Maradona's doctor Leopoldo Luque is being investigated for involuntary manslaughter four days after the Argentine football legend suffered a fatal heart attack. Police raided the home and clinic of the 39-year-old doctor earlier in the day, a local prosecutor's office stated. This comes after witnesses reportedly told investigators that they had seen a fight between Maradona and the doctor.",sports
"Chris Lynn smashes 20 sixes, scores 154 runs off 55 balls in club T20 match","Playing for Toombul against Sunshine Coast in Queensland Premier Cricket, Chris Lynn scored 154 runs off just 55 deliveries. The 30-year-old batsman, who did not feature in a single match for Mumbai Indians in IPL 2020, reached the 100-run mark in just 38 deliveries. He smashed 20 sixes in his 55-ball innings. ",sports
Referee saves MMA fighter from nearly flashing her breast; video surfaces,A video showing referee Jason Herzog saving MMA fighter Norma Dumont from nearly flashing her breast has surfaced online. The video shows Herzog stopping the fight momentarily to adjust the fighter's top. Brazilian born Dumont defeated Ashlee Evans-Smith by unanimous decision in her first fight since February.,sports
"Jasprit Bumrah kicks 30-yard field marker in anger during 2nd ODI, pic surfaces","Team India fast bowler Jasprit Bumrah kicked 30-yard field marker away in anger during the second ODI against Australia in Sydney. Bumrah, who is the world number two ODI bowler, registered figures of 10-0-73-1 and 10-1-79-1 in the first two ODIs which India lost. He has taken just four wickets in his last nine ODI matches.",sports
What protection do farmers have: Monty Panesar on India's farm bills,"Former England spinner Monty Panesar questioned the recently passed agricultural bills by the Indian government as farmers continued their protest. He tweeted, ""What happens if the buyer says the contract cannot be fulfilled because the quality of crop is not what was agreed, what protection does the farmer have then? There is no mention of fixing a price?""",sports
Tyson reveals he smoked marijuana before throwing 193 punches in 16 minutes in fight,"Boxer Mike Tyson, who returned to ring after 15 years for his exhibition fight against Roy Jones Jr, revealed he smoked marijuana before the fight. Tyson threw 193 punches during his eight-round, 16-minute fight. ""It has no effect on me from a negative standpoint. It's just what I do, who I'm and how I'll die,"" Tyson later said about smoking.",sports
"Maradona's daughter breaks down as football team gives her ovation, video surfaces","Dalma Maradona, daughter of late Argentine football legend Diego Maradona, broke down as Boca Juniors players gave her an ovation while paying tribute to her father during their game against Newell’s Old Boys. Dalma was sitting in her father's box at Bombonera Stadium, when Boca players went to the touchline and laid down a Maradona shirt after scoring a goal.",sports
